Total Play Time,Total XP,Bot Name,Level,Rarity,Health,Size,Haste,Crit,Resilience,Max Energy,Res. Yield Incr.,Mission Success Boost,Mission Crit Chance,Mission Number
536.3000000000001,16150,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,312
1312.875,24217,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,312
362.7,10288,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,312
590.6499999999999,16470,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,313
538.3000000000001,16260,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,313
1316.875,24265,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,313
364.7,10358,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,313
593.3999999999999,16470,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,314
546.3000000000001,16404,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,314
1319.175,24265,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,314
367.09999999999997,10358,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,314
601.3999999999999,16910,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,315
548.3000000000001,16494,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,315
1327.175,24385,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,315
371.09999999999997,10538,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,315
603.3999999999999,17000,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,316
550.3000000000001,16604,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,316
1329.175,24455,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,316
373.09999999999997,10628,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,316
607.3999999999999,17072,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,317
554.3000000000001,16744,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,317
1331.175,24491,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,317
375.09999999999997,10718,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,317
611.3999999999999,17212,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,318
562.3000000000001,16888,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,318
1339.175,24851,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,318
377.09999999999997,10788,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,318
619.3999999999999,17492,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,319
564.6500000000001,16888,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,319
1347.175,25131,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,319
381.09999999999997,11008,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,319
627.3999999999999,17636,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,320
572.6500000000001,16984,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,320
1351.175,25203,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,320
385.09999999999997,11068,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,320
629.3999999999999,17746,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,321
576.6500000000001,17164,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,321
1353.175,25239,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,321
393.09999999999997,11428,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,321
632.3499999999999,17746,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,322
578.6500000000001,17234,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,322
1355.675,25239,bot9,15,rare,100,5,27,19,368,104,0.05,0.135,0.095,322
395.09999999999997,11498,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,322
640.3499999999999,18106,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,323
580.6500000000001,17264,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,323
1363.675,25679,bot9,15,epic,100,5,27,19,347,104,0.05,0.135,0.095,323
397.09999999999997,11534,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,323
642.3499999999999,18196,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,324
582.6500000000001,17300,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,324
1371.675,26119,bot9,16,epic,100,6,27,20,347,104,0.06,0.135,0.1,324
399.09999999999997,11644,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,324
644.3499999999999,18306,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,325
590.6500000000001,17444,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,325
1375.675,26299,bot9,16,epic,100,6,27,20,347,104,0.06,0.135,0.1,325
401.59999999999997,11644,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,325
652.3499999999999,18666,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,326
594.6500000000001,17504,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,326
1377.675,26329,bot9,16,epic,100,6,27,20,347,104,0.06,0.135,0.1,326
405.59999999999997,11784,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,326
656.3499999999999,18738,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,327
602.6500000000001,17784,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,327
1379.675,26365,bot9,16,epic,100,6,27,20,347,104,0.06,0.135,0.1,327
413.59999999999997,11880,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,327
658.3499999999999,18808,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,328
602.6500000000001,17784,bot8,1,common,100,15,3,3,404,115,0.15,0.015,0.015,328
1387.675,26805,bot9,16,epic,100,6,27,20,347,104,0.06,0.135,0.1,328
421.59999999999997,12160,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,328
662.3499999999999,18856,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,329
1391.675,26877,bot9,16,epic,100,6,27,20,347,104,0.06,0.135,0.1,329
423.59999999999997,12184,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,329
4.0,48,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,329
666.3499999999999,19076,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,330
1399.675,27157,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,330
431.59999999999997,12304,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,330
6.0,78,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,330
668.3499999999999,19146,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,331
1403.675,27377,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,331
435.59999999999997,12364,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,331
8.0,188,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,331
672.3499999999999,19194,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,332
1411.675,27657,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,332
443.59999999999997,12644,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,332
10.0,258,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,332
675.3,19194,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,333
1413.675,27687,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,333
447.59999999999997,12784,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,333
12.0,282,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,333
679.3,19242,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,334
1421.675,28127,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,334
450.2,12784,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,334
14.0,352,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,334
681.3,19352,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,335
1429.675,28223,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,335
458.2,13224,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,335
18.0,400,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,335
685.3,19424,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,336
1431.675,28259,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,336
466.2,13584,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,336
20.0,430,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,336
687.3,19460,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,337
1435.675,28331,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,337
474.2,13944,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,337
22.0,520,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,337
689.3,19570,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,338
1438.225,28331,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,338
476.2,13980,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,338
26.0,700,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,338
693.3,19710,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,339
1446.225,28771,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,339
478.4,13980,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,339
34.0,820,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,339
695.3,19800,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,340
1448.225,28801,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,340
482.4,14160,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,340
36.0,910,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,340
703.3,19920,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,341
1452.225,28941,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,341
486.4,14220,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,341
38.4,910,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,341
707.3,20140,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,342
1456.225,29081,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,342
494.4,14316,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,342
40.4,946,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,342
709.8499999999999,20140,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,343
1458.225,29117,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,343
496.4,14406,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,343
44.4,1126,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,343
713.8499999999999,20280,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,344
1460.225,29147,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,344
504.4,14686,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,344
52.4,1486,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,344
717.8499999999999,20352,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,345
1462.225,29257,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,345
506.4,14776,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,345
54.4,1576,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,345
719.8499999999999,20462,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,346
1464.225,29293,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,346
514.4,15056,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,346
58.4,1636,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,346
727.8499999999999,20582,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,347
1466.225,29363,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,347
518.4,15104,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,347
66.4,1916,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,347
735.8499999999999,20702,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,348
1468.225,29387,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,348
522.4,15284,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,348
68.4,1986,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,348
737.8499999999999,20792,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,349
1472.225,29567,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,349
525.0,15284,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,349
72.4,2126,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,349
745.8499999999999,20912,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,350
1474.8249999999998,29567,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,350
533.0,15404,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,350
76.4,2174,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,350
749.8499999999999,20960,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,351
1482.8249999999998,29711,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,351
535.0,15474,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,351
78.85000000000001,2174,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,351
752.8,20960,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,352
1490.8249999999998,29991,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,352
543.0,15834,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,352
86.85000000000001,2534,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,352
756.8,21180,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,353
1492.8249999999998,30015,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,353
551.0,16194,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,353
94.85000000000001,2894,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,353
764.8,21540,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,354
1500.8249999999998,30295,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,354
553.0,16224,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,354
98.85000000000001,3034,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,354
772.8,21660,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,355
1504.8249999999998,30343,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,355
553.0,16224,bot10,1,common,100,8,3,10,431,108,0.08,0.015,0.05,355
106.85000000000001,3154,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,355
774.8,21770,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,356
1512.8249999999998,30463,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,356
108.85000000000001,3190,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,356
4.0,48,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,356
778.8,21990,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,357
1515.3249999999998,30463,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,357
110.85000000000001,3214,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,357
8.0,120,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,357
780.8,22080,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,358
1519.3249999999998,30643,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,358
113.15,3214,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,358
10.0,230,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,358
783.15,22080,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,359
1521.3249999999998,30673,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,359
121.15,3334,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,359
18.0,374,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,359
785.15,22110,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,360
1525.3249999999998,30813,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,360
129.15,3694,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,360
26.0,654,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,360
793.15,22470,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,361
1533.3249999999998,31093,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,361
131.15,3730,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,361
34.0,934,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,361
797.15,22610,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,362
1541.3249999999998,31189,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,362
135.15,3910,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,362
36.4,934,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,362
805.15,22706,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,363
1545.3249999999998,31329,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,363
137.15,4020,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,363
40.4,1154,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,363
807.15,22776,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,364
1549.3249999999998,31509,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,364
139.15,4044,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,364
48.4,1298,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,364
811.15,22996,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,365
1551.3249999999998,31539,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,365
141.15,4068,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,365
56.4,1578,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,365
815.15,23136,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,366
1553.3249999999998,31629,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,366
143.25,4068,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,366
64.4,1938,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,366
823.15,23416,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,367
1555.5749999999998,31629,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,367
151.25,4508,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,367
66.4,2008,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,367
825.6,23416,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,368
1559.5749999999998,31809,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,368
159.25,4652,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,368
68.7,2008,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,368
829.6,23488,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,369
1563.5749999999998,31881,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,369
161.25,4676,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,369
72.7,2148,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,369
837.6,23584,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,370
1565.5749999999998,31971,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,370
165.25,4736,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,370
76.7,2288,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,370
839.6,23694,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,371
1569.5749999999998,32043,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,371
169.25,4876,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,371
78.7,2358,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,371
843.6,23766,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,372
1573.5749999999998,32223,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,372
171.25,4912,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,372
80.7,2428,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,372
847.6,23906,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,373
1581.5749999999998,32319,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,373
173.25,4948,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,373
84.7,2476,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,373
851.6,24126,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,374
1583.5749999999998,32349,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,374
175.85,4948,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,374
86.7,2566,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,374
859.6,24406,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,375
1585.5749999999998,32385,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,375
183.85,5092,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,375
90.7,2706,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,375
862.0,24406,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,376
1589.5749999999998,32525,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,376
187.85,5232,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,376
92.7,2796,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,376
870.0,24766,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,377
1592.0749999999998,32525,bot9,17,epic,100,8,27,20,347,104,0.08,0.135,0.1,377
191.85,5452,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,377
100.7,3076,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,377
874.0,24906,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,378
1594.0749999999998,32615,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,378
193.85,5542,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,378
102.7,3112,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,378
878.0,25126,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,379
1598.0749999999998,32755,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,379
195.85,5612,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,379
106.7,3184,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,379
886.0,25406,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,380
1606.0749999999998,33195,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,380
199.85,5752,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,380
109.0,3184,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,380
894.0,25686,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,381
1614.0749999999998,33475,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,381
207.85,6192,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,381
111.0,3220,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,381
902.0,26126,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,382
1618.0749999999998,33547,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,382
210.5,6192,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,382
119.0,3316,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,382
904.8,26126,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,383
1626.0749999999998,33827,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,383
212.5,6282,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,383
121.0,3340,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,383
906.8,26162,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,384
1628.0499999999997,33827,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,384
220.5,6378,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,384
125.0,3412,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,384
908.8,26198,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,385
1630.0499999999997,33917,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,385
228.5,6818,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,385
129.0,3632,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,385
912.8,26338,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,386
1638.0499999999997,34277,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,386
232.5,6878,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,386
131.0,3702,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,386
920.8,26434,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,387
1646.0499999999997,34421,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,387
240.5,6974,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,387
133.0,3732,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,387
928.8,26874,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,388
1648.0499999999997,34511,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,388
242.55,6974,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,388
137.0,3804,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,388
930.8,26964,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,389
1656.0499999999997,34791,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,389
250.55,7334,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,389
141.0,3944,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,389
938.8,27244,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,390
1658.1499999999996,34791,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,390
258.55,7614,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,390
143.35,3944,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,390
946.8,27364,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,391
1660.1499999999996,34861,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,391
260.55,7704,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,391
147.35,4164,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,391
949.75,27364,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,392
1668.1499999999996,34981,bot9,18,epic,100,9,27,21,347,104,0.09,0.135,0.105,392
260.55,7704,bot11,1,common,100,7,5,9,466,107,0.07,0.025,0.045,392
151.35,4236,bot12,1,common,100,6,13,2,576,106,0.06,0.065,0.01,392
957.75,27484,bot7,1,common,100,9,6,6,407,119,0.09,0.03,0.03,393
